5710,Fundamentals of E-Commerce Technologies
5720,Electronic Payments Systems
5730,Logistics Management
5810,E-Commerce Data Mining Techniques
5820,Distributed and Mobile Systems
5830,Network and Web Programming
5840,Open Systems for E-Commerce
5850,Project I in E-Commerce and Logistics Technologies
5910,Information Technology Management
5920,Decision Methodologies with Financial Applications
5930,Engineering Economics
5940,Supply Chain Management
5950,Project II in E-Commerce and Logistics Technologies
5960,E-Commerce and Logistics Technologies Internship
