2020,Renewable Energy Technologies
2030,Energy and Environmental Economics and Management
2040,"Heating, Ventilation, and Air-Conditioning (HVAC) I"
2602,Engineering Practicum
3010,"Heating, Ventilation, and Air-Conditioning (HVAC) II"
3020,Energy Utilization and Human Behaviour
3030,Engineering Materials
4010,Kinetic Energy Harvesting Devices and Systems
4020,Solar Energy and Photovoltaic Technology
4030,Nuclear Energy and Risk Assessment
4050,Energy Storage Devices and Systems
4060,Energy Distribution
4070,Green Building and Sustainable Technologies
4998,Final Year Project I
4999,Final Year Project II
