2001,FinTech Regulation and Legal Policy
2101,Optimization Methods
2602,Financial Technology Practicum
3001,Financial Innovation and Structured Products
3002,Introduction to Financial Infrastructures
4001,Advanced Database Technologies
4002,Behavioral Analytics
4003,Data Mining for FinTech
4005,Financial Informatics
4006,Internet Finance
4007,Introduction to Blockchain and Distributed Ledger Technology
4008,Natural Language Processing for FinTech
4998,Final Year Project I
4999,Final Year Project II
5510,Advanced Financial Infrastructure
5520,Applied Blockchain and Cryptocurrencies
5530,Quantitative and Algorithmic Trading
5540,Financial Technology Internship
5550,Elements of RegTech for the Financial Market
5560,Topics in Financial Technology Innovations
5570,Financial Technology Entrepreneurship
5580,Data Analytics for Financial Technology
5590,Intelligent Automation - Robotic Process Automation (RPA) & Artificial Intelligence (AI)
5610,Computational Finance
5910,Financial Technology Project I
5920,Financial Technology Project II
