5111,Public Policy Process
5121,Values and Ethics in Public Policy
5132,Public Policy Research
5142,Economic Analysis of Public Policy
5301,"Globalization, Social Problem and Policy"
5311,Public Organization Management
5321,NGOs & Government
5331,Government and the Economy
5351,Public Policy and Governance
5402,Comparative Public Policy
5412,Crisis Management and Public Governance
5422,Environmental Policy Analysis
5432,Urban Planning and Development
5433,Global Finance and Governance
5435,"Government Relations, Diplomacy and Ethics"
5501,Public Policy in Hong Kong
5801,Topical Studies in Public Policy I
5802,Topical Studies in Public Policy II
5803,Topical Studies in Public Policy III
5804,Topical Studies in Public Policy IV
5901,Directed Studies
