5001,Subject Curriculum and Teaching (Major: Chinese Language)
5002,Subject Curriculum and Teaching (Major: English)
5003,Subject Curriculum and Teaching (Major: Chinese History)
5004,Subject Curriculum and Teaching (Major: History)
5005,Subject Curriculum and Teaching (Major: Geography)
5006,Subject Curriculum and Teaching (Major: Economics)
5008,Subject Curriculum and Teaching (Major: Mathematics)
5009,Subject Curriculum and Teaching (Major: Physics)
5010,Subject Curriculum and Teaching (Major: Chemistry)
5011,Subject Curriculum and Teaching (Major: Biology)
5014,Subject Curriculum and Teaching (Major: Music)
5018,Subject Curriculum and Teaching (Major: Physical Education)
5019,Subject Curriculum and Teaching (Major: Putonghua)
5020,Subject Curriculum and Teaching (Major: Citizenship and Social Development)
5021,Subject Curriculum and Teaching (Major: Visual Arts)
5022,Subject Curriculum and Teaching (Major: Information and Communication Technology)
5023,"Subject Curriculum and Teaching (Major: Business, Accounting and Financial Studies)"
5031,Subject Curriculum and Teaching (Minor: Visual Arts)
5035,Subject Curriculum and Teaching (Minor: Information and Communication Technology)
5036,"Subject Curriculum and Teaching (Minor: Business, Accounting and Financial Studies)"
5043,Subject Curriculum and Teaching (Minor: Chinese History)
5044,Subject Curriculum and Teaching (Minor: History)
5045,Subject Curriculum and Teaching (Minor: Geography)
5046,Subject Curriculum and Teaching (Minor: Economics)
5048,Subject Curriculum and Teaching (Minor: Mathematics)
5049,Subject Curriculum and Teaching (Minor: Physics)
5050,Subject Curriculum and Teaching (Minor: Chemistry)
5051,Subject Curriculum and Teaching (Minor: Biology)
5054,Subject Curriculum and Teaching (Minor: Music)
5058,Subject Curriculum and Teaching (Minor: Physical Education)
5062,Design and Implementation of Student Activities
5101,Subject Curriculum and Teaching (Major: Chinese Language)
5102,Subject Curriculum and Teaching (Major: English)
5103,Subject Curriculum and Teaching (Major: Chinese History)
5104,Subject Curriculum and Teaching (Major: History)
5105,Subject Curriculum and Teaching (Major: Geography)
5106,Subject Curriculum and Teaching (Major: Economics)
5108,Subject Curriculum and Teaching (Major: Mathematics)
5109,Subject Curriculum and Teaching (Major: Physics)
5110,Subject Curriculum and Teaching (Major: Chemistry)
5111,Subject Curriculum and Teaching (Major: Biology)
5114,Subject Curriculum and Teaching (Major: Music)
5115,Subject Curriculum and Teaching (Major: Religious Studies)
5118,Subject Curriculum and Teaching (Major: Physical Education)
5119,Subject Curriculum and Teaching (Major: Putonghua)
5120,Subject Curriculum and Teaching (Major: Citizenship and Social Development)
5121,Subject Curriculum and Teaching (Major: Visual Arts)
5122,Subject Curriculum and Teaching (Major: Information and Communication Technology)
5123,"Subject Curriculum and Teaching (Major: Business, Accounting and Financial Studies)"
5131,Subject Curriculum and Teaching (Minor: Visual Arts)
5132,Subject Curriculum and Teaching (Minor: Liberal Studies - Self and Personal Development)
5133,Subject Curriculum and Teaching (Minor: Liberal Studies - Society and Culture)
5134,Subject Curriculum and Teaching (Minor: Citizenship and Social Development)
5135,Subject Curriculum and Teaching (Minor: Information and Communication Technology)
5136,"Subject Curriculum and Teaching (Minor: Business, Accounting and Financial Studies)"
5143,Subject Curriculum and Teaching (Minor: Chinese History)
5144,Subject Curriculum and Teaching (Minor: History)
5145,Subject Curriculum and Teaching (Minor: Geography)
5146,Subject Curriculum and Teaching (Minor: Economics)
5148,Subject Curriculum and Teaching (Minor: Mathematics)
5149,Subject Curriculum and Teaching (Minor: Physics)
5150,Subject Curriculum and Teaching (Minor: Chemistry)
5151,Subject Curriculum and Teaching (Minor: Biology)
5154,Subject Curriculum and Teaching (Minor: Music)
5155,Subject Curriculum and Teaching (Minor: Religious Studies)
5157,Subject Curriculum and Teaching (Minor: Integrated Science)
5158,Subject Curriculum and Teaching (Minor: Physical Education)
5159,Subject Curriculum and Teaching (Minor: Putonghua)
5162,Design and Implementation of Student Activities
5164,Principles of Curriculum Design
5168,I.T. In Education: Foundations
5169,I.T. In Education: Integration into Teaching & Learning
5170,Curriculum Evaluation: From Assessment to Self-evaluation
5171,Introduction to Models of Teaching
5172,Teaching and Learning with Information and Communication Technology
5173,Designing and Implementing STEM Education in Secondary Schools
5191,Individual Project: Curriculum and Teaching Method
5206,Environmental Education
5211,Structure and Process of Schooling
5213,Education Policy and Practice in Hong Kong
5221,Educational Reform in Chinese Societies
5222,Values And Moral Education
5224,Citizenship Education
5225,Hong Kong Education from a Cultural Perspective
5226,Teacher Development and Leadership
5227,Understanding and Handling At-risk Students in School
5228,Legal Issues in School Education
5229,Liberal Studies in Knowledge Society
5230,Media Literacy and Media Education
5231,From Whence We Came: The Historical Contexts of Hong Kong Education
5232,Home-school-community Collaboration for Managing Learning Diversity
5233,Education and Economic Development: An Introduction
5234,Ethics and Professional Standards for the Teaching Profession
5235,School Improvement: Theory and Practice
5236,Life Education and Pursuit of Meaning
5291,"Individual Project: Society, Institution and Organization"
5311,Psychology of Learning and Teaching
5312,Adolescent Development
5313,Guidance and Counselling in Secondary Schools
5314,Understanding and Developing Achievement Tests in Secondary Schools
5315,Classroom Management and Discipline in Secondary Schools
5316,Supporting Secondary School Students with Special Educational Needs
5317,Motivation and Individual Differences
5318,Sexuality Education in Secondary School
5319,Personal Growth of Teachers
5320,Supporting Secondary School Students with Special Educational Needs
5321,Positive Psychology in Education
5391,Individual Project: Psychology and Counselling
5901,Teaching Practicum
