5001,Infectious Diseases in Public Health Practice
5002,Topics in Infection and Microbiology I
5003,"Infectious Diseases of Public Health Importance: Epidemiology, Control and Policy"
5004,Infection Control in Health Care and Community Settings
5005,Surveillance / Outbreak Investigation / Control
5006,Applied Epidemiology: Outbreak Investigation
5007,Application of Geographic Information System in Public Health
5801,Major and Neglected Tropical Infectious Diseases of Poverty
5802,Introduction of Bioinformatics
6801,Practicum on Infectious Diseases
