The introductory module will discuss the basic knowledge of mental health and related issues.
This module continues to explore mental health in theoretical and practical settings.
"This module will provide students with a solid grounding in psychopharmacotherapy, as applied to mental health care."
"This module will provide students with a solid grounding in psychological intervention, as applied to mental health care."
"This module requires work related exposure to settings involving care of persons with mental health problems or mental disorders, in a medical (including nursing and allied health disciplines) or social setting."
"This module requires work related exposure to settings involving care of persons with mental health problems or mental disorders, in a medical (including nursing and allied health disciplines) or social setting."
This module aims to equip students with an in-depth understanding of the multidisciplinary approach to the care for severe mental disorders.
This module will equip students with basic knowledge and understanding concerning common mental health problems in late life.
This module aims to equip students with the knowledge and understanding of issues pertaining to children’s mental health.
The introductory module will discuss the basic knowledge of research methodology.
"During the two year period of the MSc course, students will carry out a research project in the field of mental health studies under the supervision of a supervisor assigned by the course directors. Each student will spend a minimum of four contact hour per week with the supervisor."
"During the two year period of the MSC course, students will carry out a research project under supervision."
"Students will be given diagnosis, assessment and management principles of a selected common mental health problem using case-based discussions."
