2010,Marketing Management
3010,Marketing Research
3020,Consumer Behaviour
3030,Integrated Marketing Communication
3040,Salesmanship and Sales Management
3050,Global Marketing Management
3060,Big Data Strategy in Marketing
4010,Organizational Marketing
4020,Retail and Channel Management
4030,Service Marketing
4040,Strategic Marketing
4050,Seminar in Marketing
4070,Marketing in China
4080,Digital Marketing
4090,Marketing Analytics
4110,Strategic Brand Management
4120,Marketing Engineering
4140,Global Business Services
4150,New Product Management
4160,Pricing
4170,Customer Relationship Management
4180,Social Media Analytics
4190,Machine Learning Practices in Marketing
4200,Behavioral Decision Making and Consumer Choice
5011,Marketing Management
5012,Marketing Research
5013,Buyer Behaviour
5014,Managing Service Excellence
5015,Organizational Marketing
5016,Marketing in China
5017,Marketing
5018,Big Data Strategy
5019,Strategic Consumer Insights
6011,Strategic Marketing
6012,Integrated Marketing Communication
6013,Customer Analytics
6014,Global Marketing Management
6015,Salesmanship and Sales Management
6016,Chinese Wisdom and Marketing
6017,Strategic Brand Management
6018,Retailing and Distribution Management
6019,E-Marketing
6020,Special Topics in Marketing
6021,Business Negotiation
6022,Marketing Intelligence Management
6023,Seminar on Strategic Marketing
6024,Selected Topics in Marketing
6025,Seminar in Marketing
6026,Behavioral Decision Making
6027,Marketing Engineering
6029,Social Media Analytics
6030,Practicum in Managerial Marketing
6031,Practicum in Big Data Marketing
6032,Current Topics in Marketing
6033,Digital Marketing
6034,Special Topics in Digital Marketing
6035,Marketing Analytics
6036,Pricing Analytics
6037,Machine Learning in Marketing
6038,Special Topics in Business Negotiation
6039,Corporate Sustainability and Brand Communications
6152,Advanced Seminar in Marketing - Behavioral Studies I
6153,Advanced Seminar in Marketing - Behavioral Studies II
6162,Consumer Information Processing I
6172,Consumer Information Processing II
6182,Advanced Social Psychology for Business Research
6192,Advanced Cultural Psychology for Business Research
6202,Special Topics in Quantitative Marketing
6203,Special Topics in Behavioural Marketing
7111,Independent Study
7162,Advanced Seminar in Marketing - Analytical Models
7163,Advanced Seminar in Marketing- Empirical Models
8003,Thesis Research
8006,Thesis Research
8012,Thesis Research
